date,pm2_5,pm10,o3,no2,so2,co,temp,pressure,humidity,wind_speed,clouds
2022-05-15,5.462083333333330,7.790416666666670,74.32250000000000,9.540416666666670,12.115416666666700,272.1745833333330,286.41,1016,61,1.54,0
2022-05-16,11.420000000000000,14.622500000000000,47.69750000000000,21.245000000000000,26.991666666666700,367.58125,286.29,1018,51,1.03,0
2022-05-17,5.501666666666670,7.270833333333330,65.21583333333330,11.805000000000000,13.185833333333300,284.8300000000000,282.18,1022,45,7.2,0
2022-05-18,11.493333333333300,14.254583333333300,57.63958333333330,18.885833333333300,27.089583333333300,370.0850000000000,283.79,1025,49,0.0,0
2022-05-19,20.22333333333330,24.415833333333300,70.71166666666670,24.42375,27.62666666666670,379.5429166666670,288.69,1018,50,2.06,0
2022-05-20,9.792500000000000,11.918333333333300,78.67041666666670,13.143750000000000,16.298750000000000,284.7620833333330,290.76,1009,63,1.03,0
2022-05-21,6.725833333333330,8.242916666666670,60.63666666666670,10.178750000000000,7.610000000000000,267.02875000000000,285.2,1007,86,6.69,40
2022-05-22,2.9391666666666700,3.414166666666670,75.72916666666670,4.030833333333330,3.6875000000000000,220.2983333333330,283.68,1010,84,6.69,75
2022-05-23,11.97125,14.288333333333300,50.26458333333330,20.183333333333300,23.85375,340.04375,286.4,1007,72,2.06,0
2022-05-24,6.835,8.237916666666670,71.13708333333330,9.0825,9.761666666666670,243.94083333333300,287.86,1009,90,3.09,75
2022-05-25,11.505833333333300,13.136250000000000,37.87166666666670,16.568750000000000,15.904583333333300,304.1625000000000,285.27,1012,93,1.54,75
2022-05-26,7.904166666666670,9.234166666666670,69.02208333333330,6.6816666666666700,6.730833333333330,230.7295833333330,288.87,1013,70,6.17,0
2022-05-27,5.958750000000000,6.986250000000000,65.1475,7.673333333333340,6.90625,230.86875000000000,282.56,1007,76,3.09,0
2022-05-28,1.8325000000000000,2.4025000000000000,72.06208333333340,4.223333333333330,4.20375,213.76166666666700,282.75,1008,91,4.63,0
2022-05-29,15.739166666666700,18.127916666666700,45.70375000000000,15.795833333333300,24.257500000000000,390.59791666666700,285.66,1009,79,1.03,0
2022-05-30,13.138750000000000,15.755000000000000,34.85333333333330,18.952916666666700,19.465833333333300,332.67375,282.39,1012,89,1.54,0
2022-05-31,18.287083333333300,22.050833333333300,49.65625000000000,20.473333333333300,26.81416666666670,402.35125000000000,288.45,1014,60,3.6,0
2022-06-01,12.12,13.797916666666700,66.72791666666670,15.5575,12.378333333333300,278.64125000000000,286.46,1012,76,21.01,0
2022-06-02,12.803333333333300,14.977500000000000,51.29125,17.350833333333300,14.998333333333300,308.8208333333330,285.03,1019,80,0.0,0
2022-06-03,21.541666666666700,26.265416666666700,42.69875,29.63833333333330,45.080833333333300,453.0458333333330,289.31,1019,64,2.06,0
2022-06-04,9.287500000000000,10.773333333333300,72.67291666666670,9.791666666666670,8.885,230.9391666666670,292.01,1017,66,5.14,0
2022-06-05,6.755,8.316666666666670,71.18250000000000,10.070000000000000,11.10458333333330,232.05041666666700,290.27,1015,62,2.57,0
2022-06-06,7.5683333333333300,9.030833333333340,69.00708333333330,10.932083333333300,10.585,231.21708333333300,293.35,1013,71,2.06,0
2022-06-07,18.049583333333300,20.395,39.69875,31.835416666666700,27.02291666666670,365.0783333333330,291.54,1010,88,2.57,20
2022-06-08,19.27958333333330,21.769166666666700,36.163333333333300,22.172916666666700,19.67916666666670,392.33708333333300,290.52,1007,92,0.0,100
2022-06-09,16.1,19.25041666666670,27.91708333333330,20.738333333333300,18.462083333333300,342.54750000000000,292.8,1008,93,4.63,20
